,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
10,"('Ş', 0.9975905288205205)","('S', 0.9940199849557445)","('Ç', 0.9494234428354905)","('C', 0.9490917835457758)","('G', 0.9723519632619815)","('K', 0.9723426095191112)","('V', 0.9642541919455693)","('B', 0.9554424952192896)","('O', 0.9714001462446198)","('D', 0.9654024473387275)","('R', 0.9708593725239223)","('P', 0.9113827427563297)","('A', 0.959771762326757)","('Z', 0.9051114262501431)","('Y', 0.9418410877200989)","('Ü', 0.9573769964913266)","('Ö', 0.9674540524738975)","('N', 0.9653066376007177)","('E', 0.9257170711293513)","('M', 0.9681199597465693)","('H', 0.9716844099023587)","('Ğ', 0.9682865954897512)","('F', 0.9032541785179672)","('T', 0.9187282638031213)","('J', 0.8482223550143932)","('L', 0.8063920698152411)","('İ', 0.35153262403917296)","('I', 0.0)"
11,"('Ü', 0.9991278163480483)","('Ö', 0.9860913026780754)","('Ğ', 0.9932235034412772)","('Ş', 0.9663611350294783)","('Ç', 0.9701030332601353)","('D', 0.9612238338600065)","('S', 0.9734713057462817)","('O', 0.978219074266939)","('C', 0.9753906231472745)","('K', 0.9639203512639081)","('N', 0.9223946062755525)","('H', 0.9658623495270073)","('G', 0.9858357797003409)","('V', 0.9626525304365215)","('R', 0.9394537865253247)","('B', 0.9384950434319896)","('M', 0.9512028704372453)","('Y', 0.9068714290185057)","('A', 0.9825865535124954)","('Z', 0.9397627827666208)","('E', 0.922672752554429)","('L', 0.8975887848944536)","('J', 0.8905539778996171)","('P', 0.8831701234026557)","('T', 0.8763490182319478)","('F', 0.8665104652769611)","('İ', 0.39421885912416244)","('I', 0.0)"
12,"('M', 0.9902868848092643)","('N', 0.9554026319741156)","('K', 0.9528169627580662)","('R', 0.9835468450170282)","('D', 0.9752595911965029)","('O', 0.9137623173119288)","('G', 0.9260742979188124)","('B', 0.9863803666836326)","('P', 0.9143057373069375)","('A', 0.9075464698665927)","('H', 0.9685723326786598)","('S', 0.9275856754175023)","('Ş', 0.9194249820816371)","('E', 0.9371660384836227)","('Ü', 0.8998805860627659)","('Ğ', 0.8932127029365793)","('Ö', 0.8833565710433445)","('V', 0.863919281793364)","('C', 0.8597013096082701)","('Ç', 0.8467956528633713)","('F', 0.8446577437418133)","('Z', 0.8322233840904076)","('Y', 0.7972653541675061)","('T', 0.7329277727713251)","('J', 0.7099768192992806)","('L', 0.6897170377627679)","('İ', 0.2637208249116285)","('I', 0.0)"
13,"('I', 0.9327616606822645)","('İ', 0.809699725385834)","('B', 0.4434039660254392)","('N', 0.36628980456722093)","('R', 0.3497545410926377)","('D', 0.347897175334246)","('E', 0.34511494578333146)","('M', 0.3388533797543064)","('S', 0.29051005043826184)","('Z', 0.2864641306873412)","('H', 0.2673572997117999)","('Ş', 0.26386518393684244)","('J', 0.2598820374255971)","('K', 0.24218731941122162)","('G', 0.2354210190893724)","('P', 0.22196408519077415)","('Ü', 0.21848217366195355)","('Ğ', 0.18950351684551092)","('O', 0.1844207901532896)","('Ö', 0.15396352744181385)","('F', 0.1499836489228935)","('A', 0.1496430642290405)","('C', 0.134921336908863)","('Ç', 0.11519168376786582)","('V', 0.08040074707059508)","('T', 0.06402189966792327)","('L', 0.03387524075453985)","('Y', 0.0)"
14,"('T', 0.9995498737248761)","('Y', 0.9859012797301135)","('Z', 0.92014988580762)","('V', 0.9648113135756289)","('F', 0.9251308333558315)","('C', 0.9528423875102019)","('Ç', 0.9605777177779067)","('K', 0.9073723691884025)","('S', 0.9264437877441128)","('A', 0.9058701563368319)","('Ş', 0.9519140387940143)","('O', 0.939098578891888)","('H', 0.9006699232471698)","('G', 0.9026842096116974)","('Ü', 0.9110900499456848)","('Ö', 0.9455933260150698)","('Ğ', 0.926215141103241)","('P', 0.8959700978762196)","('D', 0.89372692243251)","('R', 0.8911965684589956)","('M', 0.873928653554344)","('E', 0.8628195513943291)","('J', 0.8532003137773136)","('B', 0.8530291769470836)","('N', 0.8467615158531856)","('L', 0.8368106654568968)","('İ', 0.3906355574691154)","('I', 0.0)"
15,"('T', 0.9995498737248761)","('Y', 0.9859012797301135)","('Z', 0.92014988580762)","('V', 0.9648113135756289)","('F', 0.9251308333558315)","('C', 0.9528423875102019)","('Ç', 0.9605777177779067)","('K', 0.9073723691884025)","('S', 0.9264437877441128)","('A', 0.9058701563368319)","('Ş', 0.9519140387940143)","('O', 0.939098578891888)","('H', 0.9006699232471698)","('G', 0.9026842096116974)","('Ü', 0.9110900499456848)","('Ö', 0.9455933260150698)","('Ğ', 0.926215141103241)","('P', 0.8959700978762196)","('D', 0.89372692243251)","('R', 0.8911965684589956)","('M', 0.873928653554344)","('E', 0.8628195513943291)","('J', 0.8532003137773136)","('B', 0.8530291769470836)","('N', 0.8467615158531856)","('L', 0.8368106654568968)","('İ', 0.3906355574691154)","('I', 0.0)"
16,"('I', 0.9327616606822645)","('İ', 0.809699725385834)","('B', 0.4434039660254392)","('N', 0.36628980456722093)","('R', 0.3497545410926377)","('D', 0.347897175334246)","('E', 0.34511494578333146)","('M', 0.3388533797543064)","('S', 0.29051005043826184)","('Z', 0.2864641306873412)","('H', 0.2673572997117999)","('Ş', 0.26386518393684244)","('J', 0.2598820374255971)","('K', 0.24218731941122162)","('G', 0.2354210190893724)","('P', 0.22196408519077415)","('Ü', 0.21848217366195355)","('Ğ', 0.18950351684551092)","('O', 0.1844207901532896)","('Ö', 0.15396352744181385)","('F', 0.1499836489228935)","('A', 0.1496430642290405)","('C', 0.134921336908863)","('Ç', 0.11519168376786582)","('V', 0.08040074707059508)","('T', 0.06402189966792327)","('L', 0.03387524075453985)","('Y', 0.0)"
17,"('R', 0.9976764152720199)","('K', 0.9721140120867419)","('D', 0.985367185969306)","('B', 0.9893532310176818)","('P', 0.9487321066430021)","('N', 0.9536003464659386)","('M', 0.9865853953653421)","('S', 0.9480889480099693)","('E', 0.9557871944387498)","('G', 0.9307510848884754)","('H', 0.9714770658652733)","('F', 0.9038490431504382)","('O', 0.9307905868104822)","('A', 0.9174634826653357)","('Ş', 0.9505433576526667)","('Ü', 0.9100539243049536)","('Ğ', 0.908549498297259)","('Ö', 0.9062336490118775)","('V', 0.8997955455300742)","('C', 0.8928195930354669)","('Ç', 0.884967010106747)","('Z', 0.8634896788471131)","('Y', 0.8574498098209459)","('T', 0.8118028773007546)","('L', 0.7313861301984276)","('J', 0.7267383840382189)","('İ', 0.2992914941871836)","('I', 0.0)"
18,"('K', 0.9921746082151824)","('R', 0.9903779990695224)","('D', 0.9862685135346475)","('N', 0.9520410858254958)","('P', 0.9488168685908605)","('B', 0.9829698087700698)","('M', 0.967070071183017)","('S', 0.9557891030874139)","('V', 0.9099091542578587)","('H', 0.95590634544355)","('C', 0.9166951394695578)","('Ş', 0.9509713180410448)","('A', 0.9288782759301184)","('G', 0.9397541690433832)","('E', 0.9799606587362125)","('O', 0.9260224865978134)","('F', 0.9320658135701598)","('Ç', 0.9117415729801335)","('Ü', 0.928278841793437)","('Ğ', 0.9192397069899116)","('Ö', 0.915472044612707)","('Y', 0.8662568706034611)","('Z', 0.8412523490912236)","('L', 0.8341253540256724)","('T', 0.8195687633039582)","('J', 0.6903160639614331)","('İ', 0.31337922947814156)","('I', 0.0)"
19,"('A', 0.9986356063800027)","('V', 0.9702425014575279)","('Y', 0.9283007280267509)","('G', 0.9867071371504136)","('O', 0.9791814884877171)","('K', 0.9727052486080672)","('C', 0.9557452753435897)","('S', 0.9742027647154072)","('R', 0.9567163310487048)","('Z', 0.9258272507643834)","('M', 0.9682247729380568)","('Ç', 0.9523535522441567)","('Ş', 0.970297073976026)","('D', 0.9590190146771495)","('B', 0.9457152158175846)","('Ö', 0.979667881152057)","('Ğ', 0.9880665151845353)","('P', 0.9069801139965576)","('N', 0.9403084249026548)","('E', 0.9183380320970129)","('H', 0.979471246355306)","('Ü', 0.982283746487404)","('J', 0.8882476095072962)","('T', 0.8811797069704088)","('F', 0.8779850675420959)","('L', 0.8544713957768126)","('İ', 0.33381452995046446)","('I', 0.0)"
