,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
10,"('I', 1.0)","('İ', 0.8937767647081665)","('B', 0.4715031551035038)","('E', 0.4315496501977385)","('D', 0.3887043977546405)","('R', 0.3707414249545772)","('N', 0.34632998820403627)","('M', 0.32897470783930993)","('Z', 0.2930087273067944)","('S', 0.2864249367775529)","('P', 0.28625842217730924)","('K', 0.27602604287667765)","('Ş', 0.2617687179878455)","('H', 0.2539702491645799)","('F', 0.24410801689095707)","('Ü', 0.23147145603773067)","('G', 0.22112850932406958)","('Ğ', 0.1795661846943858)","('O', 0.17431102107468055)","('C', 0.17385881454248675)","('J', 0.16920738960741322)","('L', 0.15988592895038867)","('Ç', 0.15410686863692413)","('Ö', 0.15287856864503946)","('A', 0.13234296274773105)","('T', 0.0829547143863506)","('V', 0.0797797177411359)","('Y', 0.0)"
11,"('İ', 1.0)","('I', 0.835931769195277)","('B', 0.44602582454758255)","('E', 0.4346513057630492)","('D', 0.38632195210935727)","('Z', 0.38279386697314577)","('R', 0.32911663119309365)","('S', 0.30285914793942514)","('Ş', 0.2829401446067522)","('Ü', 0.281261864525029)","('L', 0.2707863530377099)","('N', 0.2706953845450347)","('M', 0.26456231373709005)","('K', 0.2602381780471701)","('F', 0.2423112475663216)","('C', 0.24073585046024681)","('P', 0.23706455680382355)","('J', 0.23025680845811902)","('Ç', 0.22264342395128567)","('G', 0.21871054500797016)","('Ğ', 0.2127961675701826)","('H', 0.2093960039796705)","('Ö', 0.18924277338718543)","('O', 0.18011144379694144)","('T', 0.14982788529435442)","('A', 0.11459112300856278)","('V', 0.0930067024213842)","('Y', 0.0)"
12,"('J', 1.0)","('Z', 0.933268205519473)","('Ö', 0.9046134976824891)","('Ğ', 0.9150301415494835)","('Ü', 0.8990812481608249)","('A', 0.8922482790485319)","('O', 0.8920644233549265)","('G', 0.8815270043968517)","('Ş', 0.8777030133777377)","('V', 0.875809391291543)","('S', 0.8725251053004485)","('C', 0.8613431660634396)","('Ç', 0.8577844597582673)","('H', 0.8575306116182957)","('T', 0.8381033869259262)","('Y', 0.8357817171433171)","('M', 0.8312510304856358)","('D', 0.8132211336893501)","('K', 0.7988004819758405)","('B', 0.7984319135675312)","('R', 0.7941967444644514)","('N', 0.7891226122117065)","('E', 0.735003775215775)","('P', 0.7211475873702379)","('L', 0.7010344412434015)","('F', 0.6855448635271557)","('İ', 0.4001422681786264)","('I', 0.0)"
13,"('K', 1.0)","('R', 0.98687533743629)","('D', 0.9873376840486695)","('N', 0.9522454454378374)","('B', 0.9709360249233764)","('P', 0.9531972401408344)","('M', 0.9731413990601001)","('S', 0.9744879440762144)","('V', 0.9570678171384228)","('H', 0.9753705438791644)","('C', 0.9596482773269338)","('A', 0.9640196743173719)","('Ş', 0.9735495736710071)","('Y', 0.9215976060367669)","('G', 0.9685613339984849)","('O', 0.9645860699398263)","('E', 0.9696638525228995)","('F', 0.9436997930107125)","('Ç', 0.9566194452027207)","('Ü', 0.9633884094677675)","('Ö', 0.9593855322306724)","('Ğ', 0.9593620914191766)","('Z', 0.8877236378499852)","('L', 0.8787796313414391)","('T', 0.8785166574949761)","('J', 0.7691145224985649)","('İ', 0.33844797970033613)","('I', 0.0)"
14,"('L', 1.0)","('C', 0.928985480073381)","('Ç', 0.927509407499715)","('Ü', 0.9152324513857127)","('K', 0.8955375311449774)","('E', 0.8953492637754819)","('Ö', 0.8898395873012842)","('Ğ', 0.8874722248333836)","('D', 0.877182412926432)","('F', 0.8739629241318476)","('V', 0.8721431872564036)","('A', 0.8651824618155401)","('S', 0.8644922717850156)","('G', 0.8635798535449154)","('Ş', 0.860249317700923)","('O', 0.8591030168377156)","('Z', 0.8430943980812458)","('R', 0.8347169915269568)","('B', 0.8343007361916135)","('P', 0.8307926743772246)","('Y', 0.8278406595988185)","('H', 0.8245683466186422)","('T', 0.8224680494919657)","('M', 0.8025151991011756)","('N', 0.7755539688474691)","('J', 0.7043516046974945)","('İ', 0.4380320356996684)","('I', 0.0)"
15,"('M', 1.0)","('N', 0.9676137715239121)","('K', 0.9710220645444776)","('R', 0.9859329957328706)","('O', 0.9634789407455797)","('D', 0.9804577469784868)","('V', 0.928786380857541)","('G', 0.9642125314743506)","('H', 0.9939478958836773)","('A', 0.9498709549572963)","('C', 0.9177752958172951)","('P', 0.9276592821571434)","('B', 0.9744586827708547)","('S', 0.959414013104018)","('Ç', 0.9089980168690411)","('Ş', 0.9567778277119601)","('E', 0.9321622332495652)","('Ö', 0.9398303421400939)","('Ü', 0.9419789176891676)","('Ğ', 0.9429326002751482)","('Y', 0.8790295613565584)","('Z', 0.8787445550247176)","('F', 0.8760805174409413)","('T', 0.820311893522347)","('J', 0.7910728574291574)","('L', 0.7527518530347691)","('İ', 0.2904189303686475)","('I', 0.0)"
16,"('N', 1.0)","('M', 0.9667539002356237)","('K', 0.9471093163015988)","('H', 0.9513551835456054)","('D', 0.9402380212576594)","('R', 0.954481835727372)","('B', 0.9491947432978696)","('S', 0.9675894886356082)","('O', 0.9196481832941334)","('G', 0.9564132013420568)","('Ş', 0.9481644461901905)","('A', 0.9123012382232817)","('Ü', 0.9080253213131846)","('Ö', 0.900543139187796)","('Ğ', 0.913825928670432)","('E', 0.8922229862767181)","('V', 0.8846943656969647)","('C', 0.8702493090229578)","('Ç', 0.8664414561458179)","('P', 0.8429379557547513)","('Y', 0.831093032648167)","('F', 0.8138642706263808)","('Z', 0.779244397668692)","('T', 0.7783838005119147)","('J', 0.7319819292427758)","('L', 0.7115359959004242)","('İ', 0.27765373690393114)","('I', 0.0)"
17,"('O', 1.0)","('G', 0.9852714355515616)","('C', 0.9833110093876687)","('Ç', 0.9806756863975409)","('V', 0.9913850913779444)","('Ö', 0.9952126167456627)","('A', 0.9819812781619739)","('S', 0.9760212385357434)","('Y', 0.9633043423927881)","('D', 0.9629005014251564)","('M', 0.9703198721531783)","('Ş', 0.9817147607625405)","('R', 0.9555630425562963)","('K', 0.9689486432090654)","('Ğ', 0.9900384023977874)","('N', 0.9363881869389691)","('P', 0.9201141157679239)","('Ü', 0.9839862176608721)","('Z', 0.9411327099547118)","('B', 0.9319830638762869)","('H', 0.9882756934657136)","('T', 0.9277224623075901)","('E', 0.9123302015066939)","('F', 0.9034295036635857)","('J', 0.8913972672956069)","('L', 0.8566414943831031)","('İ', 0.3571148905829602)","('I', 0.0)"
18,"('Ö', 1.0)","('Ğ', 0.9967098333100699)","('O', 0.9953337391255994)","('Ü', 0.9919203306409416)","('G', 0.984363291859211)","('C', 0.9906701892239984)","('Ç', 0.989481680462974)","('V', 0.9936759458415367)","('Ş', 0.9824382219731765)","('S', 0.977869298998815)","('A', 0.9852418116689241)","('Y', 0.9657521228957336)","('M', 0.9523381645768632)","('D', 0.9546454868557538)","('K', 0.9652897260545201)","('R', 0.9418772556299906)","('N', 0.9232554330772661)","('P', 0.9063494277804015)","('Z', 0.9486695306858248)","('H', 0.9738686968123291)","('B', 0.9222132737019586)","('J', 0.9064521350500723)","('T', 0.938380445674905)","('E', 0.9106238212193628)","('F', 0.9011053492772484)","('L', 0.8907508305712498)","('İ', 0.380358938722677)","('I', 0.0)"
19,"('P', 1.0)","('R', 0.9665614035638534)","('F', 0.9787473615949339)","('D', 0.9631072623701209)","('K', 0.95252626396952)","('B', 0.9403258522369038)","('E', 0.9617073969774237)","('H', 0.9307029518107948)","('Ş', 0.9108705810996623)","('C', 0.9078832289952354)","('M', 0.9319887577886405)","('V', 0.9038620425863185)","('O', 0.9075843467276397)","('Ç', 0.9026143889090444)","('Y', 0.8934723565915297)","('Ö', 0.8888485563249819)","('S', 0.8870767092792752)","('A', 0.883264786694562)","('Z', 0.8820021016050815)","('Ü', 0.8791476426737366)","('Ğ', 0.8714682996712687)","('G', 0.8694309005651187)","('T', 0.8608605268487295)","('N', 0.8561569740301797)","('L', 0.8008334394445477)","('J', 0.675416802101303)","('İ', 0.30794306610639555)","('I', 0.0)"
20,"('R', 1.0)","('K', 0.9848998261303447)","('D', 0.9913284357181824)","('B', 0.9878116165574797)","('P', 0.9620720042173622)","('N', 0.9527160055389448)","('S', 0.955330491376213)","('V', 0.9187271922236515)","('M', 0.984999305496163)","('G', 0.9400879556637535)","('E', 0.9683856229811083)","('C', 0.9158865819000475)","('H', 0.9745364056274202)","('F', 0.9290187344217992)","('O', 0.9416915279770466)","('A', 0.9295384541935379)","('Ş', 0.9584284866480318)","('Ç', 0.9095641066074994)","('Ü', 0.9246824853853444)","('Ğ', 0.9214037257607651)","('Ö', 0.9217539110985548)","('Y', 0.8808579174372222)","('Z', 0.871573490537072)","('T', 0.8367466269582483)","('L', 0.7793330331436603)","('J', 0.7282836807089537)","('İ', 0.30973967249318657)","('I', 0.0)"
21,"('S', 1.0)","('Ş', 0.9945221329490956)","('C', 0.9570511673824296)","('B', 0.9503947889862023)","('G', 0.9866585621006542)","('K', 0.9741161581542869)","('Ç', 0.9572940816643412)","('V', 0.9630640349790378)","('D', 0.9619646626073403)","('O', 0.9722537962861185)","('R', 0.96060866923005)","('E', 0.922701075938505)","('A', 0.9674623671123082)","('N', 0.9703103703621565)","('Y', 0.9283428222017649)","('H', 0.9674061889155472)","('M', 0.9618341151223548)","('Ü', 0.9729144328907956)","('T', 0.904365280602864)","('Ö', 0.9737275136488784)","('Ğ', 0.9792699785288671)","('Z', 0.8954468255803607)","('P', 0.8870503583351604)","('F', 0.8846108684758819)","('J', 0.8515850595329085)","('L', 0.8404625454604961)","('İ', 0.3674776176130332)","('I', 0.0)"
22,"('Ş', 1.0)","('S', 0.9947050884696743)","('Ç', 0.9685971542396191)","('C', 0.9674671995007793)","('G', 0.9760393613841036)","('V', 0.9776564140158274)","('K', 0.9740604058868849)","('O', 0.979548522416672)","('B', 0.9464090082858742)","('D', 0.9641770403660314)","('P', 0.9138273145199783)","('R', 0.9645649921755679)","('Z', 0.9198056724927474)","('Ü', 0.9685602020107662)","('Y', 0.9581159497216881)","('A', 0.9655370206058559)","('E', 0.9260646852173519)","('N', 0.9541019895852224)","('Ö', 0.979847835086761)","('T', 0.9395293299918627)","('H', 0.9702213020222503)","('F', 0.9143392687358644)","('M', 0.9607126228675255)","('Ğ', 0.9780291764860387)","('J', 0.862369104053513)","('L', 0.8409624226187893)","('İ', 0.3711341739693239)","('I', 0.0)"
23,"('T', 1.0)","('Z', 0.9219320093408558)","('Y', 0.9817595977185687)","('F', 0.9231886586096916)","('V', 0.9609192026795729)","('C', 0.9513848730637217)","('S', 0.925584317360721)","('K', 0.9040933118814551)","('Ç', 0.9592617493411537)","('Ş', 0.9513204626373833)","('A', 0.9012135494114577)","('O', 0.9349227707369462)","('Ü', 0.909587431973408)","('Ö', 0.9430788796603434)","('Ğ', 0.9239859279006616)","('G', 0.8987940799184725)","('H', 0.8950354759066674)","('D', 0.8919388392488636)","('P', 0.8917069542122429)","('R', 0.8879787219855019)","('M', 0.8685176555198315)","('E', 0.8626032235307783)","('J', 0.8533305694936049)","('B', 0.8518511980328874)","('N', 0.8420319410544526)","('L', 0.8373612601008251)","('İ', 0.3997791142218935)","('I', 0.0)"
24,"('Ü', 1.0)","('Ö', 0.9910940704465802)","('Ğ', 0.9953856118290212)","('Ş', 0.9697996352144147)","('Ç', 0.9787931792101706)","('S', 0.9748511809818801)","('D', 0.9597520531107279)","('C', 0.9829689666936192)","('O', 0.9827951691681397)","('K', 0.9655109256742188)","('H', 0.9664647652259325)","('G', 0.9866509378551949)","('N', 0.921771169367143)","('V', 0.9713602793553401)","('R', 0.9383312535432544)","('B', 0.9328333757340839)","('Y', 0.921595137987137)","('M', 0.9493400550767088)","('L', 0.9073366748460796)","('A', 0.9832961713145889)","('Z', 0.9402070883400154)","('E', 0.921424117376734)","('T', 0.8921153678410673)","('J', 0.8909050887742354)","('P', 0.8877629817665253)","('F', 0.8769367534299211)","('İ', 0.39451175493291524)","('I', 0.0)"
25,"('V', 1.0)","('A', 0.9795113130000327)","('Y', 0.9884137491877173)","('O', 0.9922700735456307)","('C', 0.9878190385749681)","('G', 0.9734308026401203)","('K', 0.9662235413482284)","('S', 0.9713583974585762)","('Ç', 0.9891322605764392)","('R', 0.9444245989821608)","('Z', 0.9400739235063921)","('Ş', 0.9820752330242549)","('M', 0.9480709776646217)","('D', 0.9491918200260887)","('P', 0.9254334437786396)","('Ö', 0.9941783050059131)","('T', 0.9610540414815172)","('B', 0.9142600431254995)","('N', 0.9180937034445807)","('E', 0.9089414848116855)","('H', 0.9707965687311113)","('Ğ', 0.9857225751849628)","('F', 0.9261212320825007)","('Ü', 0.9760813326647207)","('J', 0.8878783243704695)","('L', 0.8832732666989465)","('İ', 0.36187272698729345)","('I', 0.0)"
26,"('Y', 1.0)","('V', 0.9893380970071992)","('A', 0.9485429267903422)","('C', 0.9688900966534475)","('O', 0.969700799939308)","('T', 0.983272725080117)","('Ç', 0.9737073825928797)","('K', 0.9432387085944964)","('G', 0.9387394564304495)","('Z', 0.9234350757070482)","('S', 0.9488672248222823)","('R', 0.9250288228986023)","('P', 0.9239667917119054)","('M', 0.9188257760664778)","('Ş', 0.9690798838671804)","('D', 0.9227368594387508)","('F', 0.9366117306827633)","('Ö', 0.9709878893265651)","('H', 0.9434412051127093)","('Ğ', 0.9555776342556843)","('Ü', 0.9397436255576918)","('N', 0.8895905806587069)","('E', 0.88680530443144)","('B', 0.8849777445635878)","('J', 0.8635686641113083)","('L', 0.8553665156663476)","('İ', 0.35256670489570663)","('I', 0.0)"
27,"('Z', 1.0)","('V', 0.9220001813946803)","('D', 0.912156202252931)","('C', 0.9350681629174902)","('A', 0.9127772912406867)","('Ş', 0.9162621046505167)","('Ç', 0.9286990809054316)","('O', 0.9312494022388209)","('J', 0.9215827919325439)","('H', 0.9073559412232288)","('Ö', 0.9384955057904723)","('Ü', 0.9350026498032128)","('Ğ', 0.9322688739914241)","('T', 0.8987372467575487)","('S', 0.8944731838592629)","('Y', 0.8917031549749036)","('G', 0.8912748086257191)","('R', 0.8856938049109864)","('K', 0.8850266398798523)","('M', 0.8849130483879093)","('B', 0.8827856379559784)","('P', 0.8808754656060692)","('E', 0.8723947179421719)","('F', 0.8550270971495408)","('L', 0.8135498851402991)","('N', 0.7958937786739133)","('İ', 0.43478821323787553)","('I', 0.0)"
